曲名,難易度,STDORDX,譜面定数,レベル,画像ファイル名

"きゅびびびびずむ",EXP,DX,12.0,12,"きゅびびびびずむ.png"
"シリウスの輝きのように",MAS,DX,12.0,12,"シリウスの輝きのように.png"
"HUMANBORG",EXP,DX,12.0,12,"HUMANBORG.png"
"ハム太郎とっとこうた",MAS,DX,12.0,12,"ハム太郎とっとこうた.png"
"バラライカ",MAS,STD,12.0,12,"バラライカ.png"
"HOT LIMIT",MAS,DX,12.0,12,"HOT LIMIT.png"
"ウマイネームイズうまみちゃん",MAS,DX,12.0,12,"ウマイネームイズうまみちゃん.png"
"ヒバナ",MAS,STD,12.0,12,"ヒバナ.png"
"妄想税",MAS,STD,12.0,12,"妄想税.png"
"回る空うさぎ",MAS,DX,12.0,12,"回る空うさぎ.png"
"初音ミクの消失",EXP,DX,12.0,12,"初音ミクの消失.png"
"太陽系デスコ",MAS,DX,12.0,12,"太陽系デスコ.png"
"結ンデ開イテ羅刹ト骸",MAS,STD,12.0,12,"結ンデ開イテ羅刹ト骸.png"
"だんだん早くなる",MAS,STD,12.0,12,"だんだん早くなる.png"
"約束",MAS,DX,12.0,12,"約束.png"
"だからパンを焼いたんだ",MAS,DX,12.0,12,"だからパンを焼いたんだ.png"
"踊れオーケストラ",MAS,STD,12.0,12,"踊れオーケストラ.png"
"ハロ／ハワユ",MAS,STD,12.0,12,"ハロ／ハワユ.png"
"ナイト・オブ・ナイツ",EXP,STD,12.0,12,"ナイト・オブ・ナイツ.png"
"How To Make 音ゲ～曲！",EXP,DX,12.0,12,"How To Make 音ゲ～曲！.png"
"with U",EXP,DX,12.0,12,"with U.png"
"僕の和風本当上手",EXP,DX,12.0,12,"僕の和風本当上手.png"
"ULTRA SYNERGY MATRIX",EXP,DX,12.0,12,"ULTRA SYNERGY MATRIX.png"
"竹",EXP,DX,12.0,12,"竹.png"
"Grievous Lady",EXP,DX,12.0,12,"Grievous Lady.png"
"Big Daddy",EXP,DX,12.0,12,"Big Daddy.png"
"Destr0yer",EXP,STD,12.0,12,"Destr0yer.png"
"Halfway(>∀<)",EXP,DX,12.0,12,"Halfway(>∀<).png"
"Caterpillar Song",EXP,DX,12.0,12,"Caterpillar Song.png"
"スーパーシンメトリー",EXP,DX,12.0,12,"スーパーシンメトリー.png"
"Re：End of a Dream",EXP,DX,12.0,12,"Re：End of a Dream.png"
"Her Dream Is To Be A Fantastic Sorceress",MAS,STD,12.0,12,"Her Dream Is To Be A Fantastic Sorceress.png"
"DADDY MULK -Groove remix-",EXP,STD,12.0,12,"DADDY MULK -Groove remix-.png"
"ばかみたい【Taxi Driver Edition】",EXP,DX,12.0,12,"ばかみたい【Taxi Driver Edition】.png"
"炎歌 -ほむらうた-",EXP,STD,12.0,12,"炎歌 -ほむらうた-.png"
"Deicide",EXP,DX,12.0,12,"Deicide.png"
"POWER OF UNITY",EXP,DX,12.0,12,"POWER OF UNITY.png"
"oboro",EXP,STD,12.0,12,"oboro.png"
"enchanted wanderer",EXP,DX,12.0,12,"enchanted wanderer.png"
"Comet Panto Men!",EXP,DX,12.0,12,"Comet Panto Men!.png"
"[X]",EXP,DX,12.0,12,"[X].png"
"N3V3R G3T OV3R",EXP,DX,12.0,12,"N3V3R G3T OV3R.png"
"白花の天使",EXP,DX,12.0,12,"白花の天使.png"
"Raven Emperor",EXP,DX,12.0,12,"Raven Emperor.png"
"Alcyone",EXP,DX,12.0,12,"Alcyone.png"
"NAGAREBOSHI☆ROCKET",EXP,DX,12.0,12,"NAGAREBOSHI☆ROCKET.png"
"Last Samurai",EXP,DX,12.0,12,"Last Samurai.png"
"ARAIS",EXP,DX,12.0,12,"ARAIS.png"
"Nitrous Fury",EXP,STD,12.0,12,"Nitrous Fury.png"
"Zitronectar",EXP,DX,12.0,12,"Zitronectar.png"
"Jump!! Jump!! Jump!!",MAS,DX,12.0,12,"Jump!! Jump!! Jump!!.png"
"R'N'R Monsta",EXP,DX,12.0,12,"R'N'R Monsta.png"
"Ai C",EXP,DX,12.0,12,"Ai C.png"
"SUPER AMBULANCE",EXP,DX,12.0,12,"SUPER AMBULANCE.png"
"Agitation！",MAS,DX,12.0,12,"Agitation！.png"
"Climax",EXP,DX,12.0,12,"Climax.png"
"アイドル新鋭隊",MAS,DX,12.1,12,"アイドル新鋭隊.png"
"熱異常",MAS,DX,12.1,12,"熱異常.png"
"立ち入り禁止",MAS,STD,12.1,12,"立ち入り禁止.png"
"ARROW",EXP,STD,12.1,12,"ARROW.png"
"最終鬼畜妹フランドール・S",MAS,STD,12.1,12,"最終鬼畜妹フランドール・S.png"
"Doll Judgment",EXP,STD,12.1,12,"Doll Judgment.png"
"田中",EXP,DX,12.1,12,"田中.png"
"First Dance",EXP,DX,12.1,12,"First Dance.png"
"御旗のもとに",EXP,STD,12.1,12,"御旗のもとに.png"
"FEEL ALIVE",EXP,STD,12.1,12,"FEEL ALIVE.png"
"U&iVERSE -銀河鸞翔-",EXP,DX,12.1,12,"U&iVERSE -銀河鸞翔-.png"
"Death Scythe",EXP,STD,12.1,12,"Death Scythe.png"
"Tic Tac DREAMIN’",MAS,STD,12.1,12,"Tic Tac DREAMIN’.png"
"Virtual to LIVE",MAS,DX,12.2,12,"Virtual to LIVE.png"
"story",MAS,DX,12.2,12,"story.png"
"いーあるふぁんくらぶ",MAS,STD,12.2,12,"いーあるふぁんくらぶ.png"
"花となれ",MAS,DX,12.2,12,"花となれ.png"
"再会",MAS,DX,12.2,12,"再会.png"
"Melody！",MAS,DX,12.2,12,"Melody！.png"
"Prismatic",MAS,DX,12.2,12,"Prismatic.png"
"Jack-the-Ripper◆",EXP,STD,12.2,12,"Jack-the-Ripper◆.png"
"BATTLE NO.1",EXP,DX,12.2,12,"BATTLE NO.1.png"
"Luminaria",EXP,DX,12.2,12,"Luminaria.png"
"Sakura Fubuki",EXP,STD,12.2,12,"Sakura Fubuki.png"
"神室雪月花",EXP,STD,12.2,12,"神室雪月花.png"
"BLACK ROSE",MAS,DX,12.2,12,"BLACK ROSE.png"
"Fraq",EXP,DX,12.2,12,"Fraq.png"
"Spin me harder",EXP,STD,12.2,12,"Spin me harder.png"
"Sqlupp (Camellia's "Sqleipd*Hiytex" Remix)",EXP,DX,12.2,12,"Sqlupp (Camellia's "Sqleipd*Hiytex" Remix).png"
"モ°ルモ°ル",EXP,DX,12.2,12,"モ°ルモ°ル.png"
"Yorugao",EXP,DX,12.2,12,"Yorugao.png"
"MYTHOS",EXP,STD,12.2,12,"MYTHOS.png"
"美夜月鏡",EXP,DX,12.2,12,"美夜月鏡.png"
"WE'RE BACK!!",EXP,DX,12.2,12,"WE'RE BACK!!.png"
"folern",EXP,DX,12.2,12,"folern.png"
"宿星審判",EXP,DX,12.2,12,"宿星審判.png"
"インビジブル",MAS,STD,12.3,12,"インビジブル.png"
"Imperishable Night 2006 (2016 Refine)",EXP,STD,12.3,12,"Imperishable Night 2006 (2016 Refine).png"
"GO BACK 2 YOUR RAVE",EXP,STD,12.3,12,"GO BACK 2 YOUR RAVE.png"
"BaBan!! －甘い罠－",EXP,STD,12.3,12,"BaBan!! －甘い罠－.png"
"LUCIA",EXP,STD,12.3,12,"LUCIA.png"
"STARTLINER",ReMAS,DX,12.3,12,"STARTLINER.png"
"奏者はただ背中と提琴で語るのみ",EXP,STD,12.3,12,"奏者はただ背中と提琴で語るのみ.png"
"GET!! 夢&DREAM",MAS,STD,12.4,12,"GET!! 夢&DREAM.png"
"jelly",MAS,STD,12.4,12,"jelly.png"
"come again",MAS,STD,12.4,12,"come again.png"
"群青讃歌",MAS,DX,12.4,12,"群青讃歌.png"
"初音ミクの激唱",EXP,STD,12.4,12,"初音ミクの激唱.png"
"終点",EXP,STD,12.4,12,"終点.png"
"明星ギャラクティカ",MAS,DX,12.4,12,"明星ギャラクティカ.png"
"METEOR",MAS,DX,12.4,12,"METEOR.png"
"スイートマジック",MAS,STD,12.4,12,"スイートマジック.png"
"パンダヒーロー",MAS,STD,12.4,12,"パンダヒーロー.png"
"雨とペトラ",MAS,DX,12.4,12,"雨とペトラ.png"
"どぅーまいべすと！",MAS,DX,12.4,12,"どぅーまいべすと！.png"
"Catch the Wave",MAS,DX,12.4,12,"Catch the Wave.png"
"Tell Your World",MAS,STD,12.4,12,"Tell Your World.png"
"Sweetiex2",MAS,STD,12.4,12,"Sweetiex2.png"
"Heart Beats",MAS,STD,12.4,12,"Heart Beats.png"
"教えて!! 魔法のLyric",MAS,STD,12.4,12,"教えて!! 魔法のLyric.png"
"今、誰が為のかがり火へ",MAS,DX,12.4,12,"今、誰が為のかがり火へ.png"
"Abstruse Dilemma",EXP,DX,12.4,12,"Abstruse Dilemma.png"
"LOSE CONTROL",EXP,DX,12.4,12,"LOSE CONTROL.png"
"Altale",EXP,STD,12.4,12,"Altale.png"
"魔法少女になるしかねぇ",EXP,STD,12.4,12,"魔法少女になるしかねぇ.png"
"Rooftop Run: Act1",MAS,STD,12.4,12,"Rooftop Run: Act1.png"
"有明/Ariake",EXP,DX,12.4,12,"有明/Ariake.png"
"洗脳",MAS,STD,12.4,12,"洗脳.png"
"STEREOSCAPE",MAS,DX,12.4,12,"STEREOSCAPE.png"
"Starlight Disco",MAS,STD,12.4,12,"Starlight Disco.png"
"maimaiちゃんのテーマ",MAS,STD,12.4,12,"maimaiちゃんのテーマ.png"
"Color My World",MAS,STD,12.4,12,"Color My World.png"
"True Love Song",MAS,STD,12.4,12,"True Love Song.png"
"犬日和。",MAS,STD,12.4,12,"犬日和。.png"
"オレンジの夏",MAS,STD,12.4,12,"オレンジの夏.png"
"AMABIE",EXP,DX,12.4,12,"AMABIE.png"
"Signature",EXP,STD,12.4,12,"Signature.png"
"Prophesy One",EXP,STD,12.4,12,"Prophesy One.png"
"エータ・ベータ・イータ",EXP,DX,12.4,12,"エータ・ベータ・イータ.png"
"Counselor",MAS,STD,12.4,12,"Counselor.png"
"だから僕は音楽を辞めた",MAS,DX,12.5,12,"だから僕は音楽を辞めた.png"
"ようこそジャパリパークへ",MAS,STD,12.5,12,"ようこそジャパリパークへ.png"
"ドラゴンエネルギー",MAS,DX,12.5,12,"ドラゴンエネルギー.png"
"なだめスかし Negotiation（TVsize）",MAS,DX,12.5,12,"なだめスかし Negotiation（TVsize）.png"
"回レ！雪月花",MAS,DX,12.5,12,"回レ！雪月花.png"
"fantastic dreamer",MAS,STD,12.5,12,"fantastic dreamer.png"
"ラブリー☆えんじぇる!!",MAS,STD,12.5,12,"ラブリー☆えんじぇる!!.png"
"true my heart -Lovable mix-",MAS,STD,12.5,12,"true my heart -Lovable mix-.png"
"ポップミュージックは僕のもの",MAS,STD,12.5,12,"ポップミュージックは僕のもの.png"
"乙女解剖",MAS,DX,12.5,12,"乙女解剖.png"
"むかしむかしのきょうのぼく",MAS,STD,12.5,12,"むかしむかしのきょうのぼく.png"
"演劇",MAS,DX,12.5,12,"演劇.png"
"デッドマンズバラッド",EXP,DX,12.5,12,"デッドマンズバラッド.png"
"幽霊東京",MAS,DX,12.5,12,"幽霊東京.png"
"彗星ハネムーン",MAS,STD,12.5,12,"彗星ハネムーン.png"
"ZIGG-ZAGG",ReMAS,STD,12.5,12,"ZIGG-ZAGG.png"
"ハッピーシンセサイザ",MAS,STD,12.5,12,"ハッピーシンセサイザ.png"
"WORLD'S END UMBRELLA",MAS,STD,12.5,12,"WORLD'S END UMBRELLA.png"
"千本桜",MAS,DX,12.5,12,"千本桜.png"
"アディショナルメモリー",MAS,DX,12.5,12,"アディショナルメモリー.png"
"夜咄ディセイブ",EXP,STD,12.5,12,"夜咄ディセイブ.png"
"quiet room",MAS,DX,12.5,12,"quiet room.png"
"スロウダウナー",MAS,DX,12.5,12,"スロウダウナー.png"
"サヨナラチェーンソー",MAS,DX,12.5,12,"サヨナラチェーンソー.png"
"好き！雪！本気マジック",MAS,STD,12.5,12,"好き！雪！本気マジック.png"
"アゲアゲアゲイン",MAS,STD,12.5,12,"アゲアゲアゲイン.png"
"shake it!",MAS,STD,12.5,12,"shake it!.png"
"サウンド",MAS,STD,12.5,12,"サウンド.png"
"ブリキノダンス",MAS,STD,12.5,12,"ブリキノダンス.png"
"ココロ",MAS,STD,12.5,12,"ココロ.png"
"Link",MAS,STD,12.5,12,"Link.png"
"林檎華憐歌",MAS,STD,12.5,12,"林檎華憐歌.png"
"電話革命ナイセン",MAS,DX,12.5,12,"電話革命ナイセン.png"
"Re:Unknown X",EXP,DX,12.5,12,"Re:Unknown X.png"
"明星ロケット",MAS,STD,12.5,12,"明星ロケット.png"
"サドマミホリック",MAS,STD,12.5,12,"サドマミホリック.png"
"Help me, ERINNNNNN!!（Band ver.）",MAS,STD,12.5,12,"Help me, ERINNNNNN!!（Band ver.）.png"
"Oath Act",MAS,DX,12.5,12,"Oath Act.png"
"紅に染まる恋の花",MAS,DX,12.5,12,"紅に染まる恋の花.png"
"泡沫、哀のまほろば",MAS,STD,12.5,12,"泡沫、哀のまほろば.png"
"色は匂へど散りぬるを",MAS,STD,12.5,12,"色は匂へど散りぬるを.png"
"つるぺったん",MAS,DX,12.5,12,"つるぺったん.png"
"隠然",MAS,STD,12.5,12,"隠然.png"
"みんなの",MAS,STD,12.5,12,"みんなの.png"
"永遠のメロディ",MAS,STD,12.5,12,"永遠のメロディ.png"
"Bad Apple!! feat.nomico",MAS,STD,12.5,12,"Bad Apple!! feat.nomico.png"
"Starlight Dance Floor",MAS,STD,12.5,12,"Starlight Dance Floor.png"
"願いを呼ぶ季節",MAS,STD,12.5,12,"願いを呼ぶ季節.png"
"ってゐ！ ～えいえんてゐVer～",MAS,STD,12.5,12,"ってゐ！ ～えいえんてゐVer～.png"
"CYBER Sparks",MAS,STD,12.5,12,"CYBER Sparks.png"
"Chronomia",EXP,DX,12.5,12,"Chronomia.png"
"月面基地",EXP,DX,12.5,12,"月面基地.png"
"ouroboros -twin stroke of the end-",EXP,DX,12.5,12,"ouroboros -twin stroke of the end-.png"
"Cthugha",EXP,DX,12.5,12,"Cthugha.png"
"Sound Chimera",EXP,DX,12.5,12,"Sound Chimera.png"
"ミラクルポップ☆アドベンチャー!!!!!",EXP,DX,12.5,12,"ミラクルポップ☆アドベンチャー!!!!!.png"
"Halcyon",EXP,STD,12.5,12,"Halcyon.png"
"Rush-Hour",EXP,DX,12.5,12,"Rush-Hour.png"
"Lost Princess",ReMAS,STD,12.5,12,"Lost Princess.png"
"きみのためなら死ねる",MAS,STD,12.5,12,"きみのためなら死ねる.png"
"かせげ！ジャリンコヒーロー",MAS,STD,12.5,12,"かせげ！ジャリンコヒーロー.png"
"電車で電車でGO!GO!GO!GC! -GMT remix-",MAS,STD,12.5,12,"電車で電車でGO!GO!GO!GC! -GMT remix-.png"
"SHOW TIME",MAS,STD,12.5,12,"SHOW TIME.png"
"In Chaos",MAS,STD,12.5,12,"In Chaos.png"
"Beat Of Mind",MAS,STD,12.5,12,"Beat Of Mind.png"
"チエルカ／エソテリカ",EXP,DX,12.5,12,"チエルカ／エソテリカ.png"
"ヨミビトシラズ",EXP,DX,12.5,12,"ヨミビトシラズ.png"
"とびだせ！TO THE COSMIC!!",EXP,DX,12.5,12,"とびだせ！TO THE COSMIC!!.png"
"Cosmic Train",MAS,STD,12.5,12,"Cosmic Train.png"
"ナミダと流星",MAS,STD,12.5,12,"ナミダと流星.png"
"BaBan!! －甘い罠－",MAS,STD,12.5,12,"BaBan!! －甘い罠－.png"
"Blew Moon",EXP,STD,12.5,12,"Blew Moon.png"
"RondeauX of RagnaroQ",EXP,DX,12.5,12,"RondeauX of RagnaroQ.png"
"Straight into the lights",EXP,DX,12.5,12,"Straight into the lights.png"
"Swift Swing",EXP,DX,12.5,12,"Swift Swing.png"
"Mutation",EXP,DX,12.5,12,"Mutation.png"
"Churros Parlor",EXP,DX,12.5,12,"Churros Parlor.png"
"火炎地獄",EXP,DX,12.5,12,"火炎地獄.png"
"HAGAKIRI",EXP,DX,12.5,12,"HAGAKIRI.png"
"華の集落、秋のお届け",EXP,STD,12.5,12,"華の集落、秋のお届け.png"
"Trick tear",EXP,DX,12.5,12,"Trick tear.png"
"Xenovcipher",EXP,DX,12.5,12,"Xenovcipher.png"
"ほしぞらスペクタクル",EXP,DX,12.5,12,"ほしぞらスペクタクル.png"
"Regulus",EXP,DX,12.5,12,"Regulus.png"
"Link",MAS,STD,12.5,12,"Link.png"
"アポカリプスに反逆の焔を焚べろ",EXP,DX,12.5,12,"アポカリプスに反逆の焔を焚べろ.png"
"四月の雨",EXP,STD,12.5,12,"四月の雨.png"
"Mare Maris",EXP,STD,12.5,12,"Mare Maris.png"
"STARRED HEART",MAS,DX,12.5,12,"STARRED HEART.png"
"GEOMETRIC DANCE",EXP,DX,12.5,12,"GEOMETRIC DANCE.png"
"Last Kingdom",EXP,DX,12.5,12,"Last Kingdom.png"
"Titania",EXP,DX,12.5,12,"Titania.png"
"YURUSHITE",EXP,DX,12.5,12,"YURUSHITE.png"
"Good bye, Merry-Go-Round.",EXP,DX,12.5,12,"Good bye, Merry-Go-Round..png"
"ハードコア・シンドローム",EXP,DX,12.5,12,"ハードコア・シンドローム.png"
"宛城、炎上！！",EXP,DX,12.5,12,"宛城、炎上！！.png"
"さくゆいたいそう",MAS,DX,12.6,12+,"さくゆいたいそう.png"
"強風オールバック",MAS,DX,12.6,12+,"強風オールバック.png"
"バレリーコ",MAS,STD,12.6,12+,"バレリーコ.png"
"ゴーゴー幽霊船",MAS,STD,12.6,12+,"ゴーゴー幽霊船.png"
"からくりピエロ",MAS,STD,12.6,12+,"からくりピエロ.png"
"裏表ラバーズ",EXP,STD,12.6,12+,"裏表ラバーズ.png"
"ロールプレイングゲーム",MAS,STD,12.6,12+,"ロールプレイングゲーム.png"
"カラフル×メロディ",MAS,STD,12.6,12+,"カラフル×メロディ.png"
"スターリースカイ☆パレード",MAS,DX,12.6,12+,"スターリースカイ☆パレード.png"
"Strobe♡Girl",MAS,DX,12.6,12+,"Strobe♡Girl.png"
"拝啓ドッペルゲンガー",EXP,STD,12.6,12+,"拝啓ドッペルゲンガー.png"
"M.S.S.Planet",MAS,STD,12.6,12+,"M.S.S.Planet.png"
"フリィダム ロリィタ",MAS,STD,12.6,12+,"フリィダム ロリィタ.png"
"LOSTPHANTASIA",MAS,DX,12.6,12+,"LOSTPHANTASIA.png"
"最速最高シャッターガール",MAS,STD,12.6,12+,"最速最高シャッターガール.png"
"Yet Another ”drizzly rain”",MAS,STD,12.6,12+,"Yet Another ”drizzly rain”.png"
"WARNING×WARNING×WARNING",MAS,STD,12.6,12+,"WARNING×WARNING×WARNING.png"
"月に叢雲華に風",MAS,DX,12.6,12+,"月に叢雲華に風.png"
"囲い無き世は一期の月影",MAS,STD,12.6,12+,"囲い無き世は一期の月影.png"
"INFINITE WORLD",MAS,STD,12.6,12+,"INFINITE WORLD.png"
"Bad Apple!! feat.nomico (REDALiCE Remix)",MAS,DX,12.6,12+,"Bad Apple!! feat.nomico (REDALiCE Remix).png"
"Synthesis.",EXP,DX,12.6,12+,"Synthesis..png"
"天使光輪",EXP,DX,12.6,12+,"天使光輪.png"
"セイクリッド　ルイン",EXP,STD,12.6,12+,"セイクリッド　ルイン.png"
"MilK",EXP,STD,12.6,12+,"MilK.png"
"Vallista",EXP,DX,12.6,12+,"Vallista.png"
"Dreadnought",EXP,DX,12.6,12+,"Dreadnought.png"
"NULCTRL",EXP,DX,12.6,12+,"NULCTRL.png"
"B.M.S.",EXP,STD,12.6,12+,"B.M.S..png"
"Riders Of The Light",MAS,STD,12.6,12+,"Riders Of The Light.png"
"Living Universe",ReMAS,STD,12.6,12+,"Living Universe.png"
"Ignite Infinity",MAS,STD,12.6,12+,"Ignite Infinity.png"
"Natural Flow",MAS,STD,12.6,12+,"Natural Flow.png"
"Crazy Circle",MAS,DX,12.6,12+,"Crazy Circle.png"
"ぐるぐるWASH！コインランドリー・ディスコ",MAS,STD,12.6,12+,"ぐるぐるWASH！コインランドリー・ディスコ.png"
"ネコ日和。",MAS,STD,12.6,12+,"ネコ日和。.png"
"TEmPTaTiON",EXP,DX,12.6,12+,"TEmPTaTiON.png"
"火炎地獄",EXP,STD,12.6,12+,"火炎地獄.png"
"Link",EXP,STD,12.6,12+,"Link.png"
"keep hopping",EXP,STD,12.6,12+,"keep hopping.png"
"UTAKATA",MAS,DX,12.6,12+,"UTAKATA.png"
"Falsum Atlantis.",EXP,DX,12.6,12+,"Falsum Atlantis..png"
"Change Our MIRAI！",MAS,DX,12.6,12+,"Change Our MIRAI！.png"
"Help me, あーりん！",MAS,STD,12.6,12+,"Help me, あーりん！.png"
"フォルテシモBELL",MAS,STD,12.6,12+,"フォルテシモBELL.png"
"猛進ソリストライフ！",EXP,STD,12.6,12+,"猛進ソリストライフ！.png"
"サヨナラフリーウェイ",MAS,DX,12.6,12+,"サヨナラフリーウェイ.png"
"8-EM",EXP,DX,12.6,12+,"8-EM.png"
"マツケンサンバⅡ",MAS,DX,12.7,12+,"マツケンサンバⅡ.png"
"バラバラ〜仮初レインボーローズ〜",MAS,DX,12.7,12+,"バラバラ〜仮初レインボーローズ〜.png"
"アマカミサマ",MAS,DX,12.7,12+,"アマカミサマ.png"
"お願いマッスル",MAS,DX,12.7,12+,"お願いマッスル.png"
"若い力 -SEGA HARD GIRLS MIX-",ReMAS,STD,12.7,12+,"若い力 -SEGA HARD GIRLS MIX-.png"
"若い力 -SEGA HARD GIRLS MIX-",MAS,STD,12.7,12+,"若い力 -SEGA HARD GIRLS MIX-.png"
"デビル☆アイドル",MAS,DX,12.7,12+,"デビル☆アイドル.png"
"Future",ReMAS,STD,12.7,12+,"Future.png"
"ミラクル・ショッピング",MAS,STD,12.7,12+,"ミラクル・ショッピング.png"
"きらっせ☆ウッド村ファーム",MAS,STD,12.7,12+,"きらっせ☆ウッド村ファーム.png"
"タケモトピアノCMソング",MAS,DX,12.7,12+,"タケモトピアノCMソング.png"
"ももいろの鍵",MAS,DX,12.7,12+,"ももいろの鍵.png"
"ザムザ",MAS,DX,12.7,12+,"ザムザ.png"
"にっこり^^調査隊のテーマ",MAS,DX,12.7,12+,"にっこり^^調査隊のテーマ.png"
"セカイはまだ始まってすらいない",MAS,DX,12.7,12+,"セカイはまだ始まってすらいない.png"
"すろぉもぉしょん",MAS,STD,12.7,12+,"すろぉもぉしょん.png"
"腐れ外道とチョコレゐト",EXP,STD,12.7,12+,"腐れ外道とチョコレゐト.png"
"ネガティブ進化論",MAS,DX,12.7,12+,"ネガティブ進化論.png"
"モザイクロール",MAS,STD,12.7,12+,"モザイクロール.png"
"弱虫モンブラン",MAS,STD,12.7,12+,"弱虫モンブラン.png"
"ベノム",MAS,DX,12.7,12+,"ベノム.png"
"アルカリレットウセイ",MAS,STD,12.7,12+,"アルカリレットウセイ.png"
"One Step Ahead",MAS,STD,12.7,12+,"One Step Ahead.png"
"グリーンライツ・セレナーデ",MAS,DX,12.7,12+,"グリーンライツ・セレナーデ.png"
"まにまに",MAS,DX,12.7,12+,"まにまに.png"
"独りんぼエンヴィー",MAS,DX,12.7,12+,"独りんぼエンヴィー.png"
"命ばっかり",MAS,STD,12.7,12+,"命ばっかり.png"
"いーあるふぁんくらぶ",ReMAS,STD,12.7,12+,"いーあるふぁんくらぶ.png"
"猫猫的宇宙論",MAS,DX,12.7,12+,"猫猫的宇宙論.png"
"ダンスロボットダンス",MAS,DX,12.7,12+,"ダンスロボットダンス.png"
"I ♥",MAS,STD,12.7,12+,"I ♥.png"
"ツギハギスタッカート",MAS,DX,12.7,12+,"ツギハギスタッカート.png"
"ただ選択があった",MAS,DX,12.7,12+,"ただ選択があった.png"
"脳漿炸裂ガール",EXP,STD,12.7,12+,"脳漿炸裂ガール.png"
"アウターサイエンス",EXP,STD,12.7,12+,"アウターサイエンス.png"
"だんだん早くなる",ReMAS,STD,12.7,12+,"だんだん早くなる.png"
"CocktaiL",MAS,DX,12.7,12+,"CocktaiL.png"
"アカリがやってきたぞっ",MAS,DX,12.7,12+,"アカリがやってきたぞっ.png"
"星屑ユートピア",MAS,DX,12.7,12+,"星屑ユートピア.png"
"Sweet Devil",MAS,STD,12.7,12+,"Sweet Devil.png"
"幸せになれる隠しコマンドがあるらしい",EXP,STD,12.7,12+,"幸せになれる隠しコマンドがあるらしい.png"
"イノコリ先生",MAS,STD,12.7,12+,"イノコリ先生.png"
"不毛！",MAS,STD,12.7,12+,"不毛！.png"
"StargazeR",MAS,STD,12.7,12+,"StargazeR.png"
"LOL -lots of laugh-",MAS,STD,12.7,12+,"LOL -lots of laugh-.png"
"ロミオとシンデレラ",MAS,STD,12.7,12+,"ロミオとシンデレラ.png"
"ダンシング☆サムライ",MAS,STD,12.7,12+,"ダンシング☆サムライ.png"
"ないせんのうた",MAS,STD,12.7,12+,"ないせんのうた.png"
"明星ロケット",ReMAS,STD,12.7,12+,"明星ロケット.png"
"響け！CHIREI MY WAY!",MAS,DX,12.7,12+,"響け！CHIREI MY WAY!.png"
"悪戯センセーション",MAS,DX,12.7,12+,"悪戯センセーション.png"
"究極焼肉レストラン！お燐の地獄亭！",MAS,STD,12.7,12+,"究極焼肉レストラン！お燐の地獄亭！.png"
"色は匂へど散りぬるを",MAS,DX,12.7,12+,"色は匂へど散りぬるを.png"
"Scream out! -maimai SONIC WASHER Edit-",EXP,STD,12.7,12+,"Scream out! -maimai SONIC WASHER Edit-.png"
"しゅわスパ大作戦☆",MAS,STD,12.7,12+,"しゅわスパ大作戦☆.png"
"神々の祈り",MAS,STD,12.7,12+,"神々の祈り.png"
"Starlight Vision",MAS,STD,12.7,12+,"Starlight Vision.png"
"もうみんなしねばいいのに",EXP,STD,12.7,12+,"もうみんなしねばいいのに.png"
"New York Back Raise",EXP,DX,12.7,12+,"New York Back Raise.png"
"Mjölnir",EXP,DX,12.7,12+,"Mjölnir.png"
"Saika",MAS,DX,12.7,12+,"Saika.png"
"B.B.K.K.B.K.K.",EXP,STD,12.7,12+,"B.B.K.K.B.K.K..png"
"conflict",EXP,STD,12.7,12+,"conflict.png"
"キミとボクのミライ",ReMAS,STD,12.7,12+,"キミとボクのミライ.png"
"Conquista Ciela",MAS,STD,12.7,12+,"Conquista Ciela.png"
"時空を超えて久しぶり！",MAS,STD,12.7,12+,"時空を超えて久しぶり！.png"
"Sky High [Reborn]",MAS,STD,12.7,12+,"Sky High [Reborn].png"
"Sky High [Reborn]",ReMAS,STD,12.7,12+,"Sky High [Reborn].png"
"Burning Hearts ～炎のANGEL～",MAS,STD,12.7,12+,"Burning Hearts ～炎のANGEL～.png"
"Urban Crusher [Remix]",EXP,STD,12.7,12+,"Urban Crusher [Remix].png"
"Mysterious Destiny",EXP,STD,12.7,12+,"Mysterious Destiny.png"
"終わりなき物語",MAS,STD,12.7,12+,"終わりなき物語.png"
"御旗のもとに",MAS,STD,12.7,12+,"御旗のもとに.png"
"地上の戦士",MAS,STD,12.7,12+,"地上の戦士.png"
"怪盗Rのテーマ",MAS,STD,12.7,12+,"怪盗Rのテーマ.png"
"Beat Of Mind",EXP,STD,12.7,12+,"Beat Of Mind.png"
"Brand-new Japanesque",MAS,STD,12.7,12+,"Brand-new Japanesque.png"
"神室雪月花",MAS,STD,12.7,12+,"神室雪月花.png"
"City Escape: Act1",MAS,STD,12.7,12+,"City Escape: Act1.png"
"City Escape: Act1",ReMAS,STD,12.7,12+,"City Escape: Act1.png"
"ヤミツキ",MAS,DX,12.7,12+,"ヤミツキ.png"
"言ノ葉遊戯",MAS,STD,12.7,12+,"言ノ葉遊戯.png"
"絡めトリック利己ライザー",MAS,DX,12.7,12+,"絡めトリック利己ライザー.png"
"超常マイマイン",MAS,DX,12.7,12+,"超常マイマイン.png"
